"COMUNA","Paso","ESTADO"
"Padre Hurtado","4","Apertura Inicial"
"Padre Las Casas","1","Cuarentena"
"Paihuano","4","Apertura Inicial"
"Paillaco","2","Transición"
"Paine","4","Apertura Inicial"
"Palena","3","Preparación"
"Palmilla","3","Preparación"
"Panguipulli","2","Transición"
"Panquehue","3","Preparación"
"Papudo","3","Preparación"
"Paredones","3","Preparación"
"Parral","2","Transición"
"Pedro Aguirre Cerda","2","Transición desde el sábado 5 de diciembre a las 5:00 hrs."
"Pelarco","3","Preparación"
"Pelluhue","3","Preparación"
"Pemuco","3","Preparación"
"Pencahue","3","Preparación"
"Penco","3","Preparación"
"Peñaflor","4","Apertura inicial"
"Peñalolén","4","Apertura Inicial"
"Peralillo","3","Preparación"
"Perquenco","2","Transición"
"Petorca","3","Preparación"
"Peumo","3","Preparación"
"Pica","3","Preparación"
"Pichidegua","3","Preparación"
"Pichilemu","3","Preparación"
"Pinto","3","Preparación"
"Pirque","4","Apertura inicial"
"Pitrufquén","3","Preparación"
"Placilla","3","Preparación"
"Portezuelo","3","Preparación"
"Porvenir","2","Transición"
"Pozo Almonte","3","Preparación"
"Primavera","3","Preparación"
"Providencia","4","Apertura inicial"
"Puchuncaví","3","Preparación"
"Pucón","3","Preparación"
"Pudahuel","2","Transición desde el sábado 5 de diciembre a las 5:00 hrs."
"Puente Alto","3","Preparación"
"Puerto Montt","2","Transición desde el lunes 7 de diciembre a las 5:00 hrs."
"Puerto Octay","3","Preparación"
"Puerto Varas","2","Transición"
"Pumanque","3","Preparación"
"Punitaqui","4","Apertura Inicial"
"Punta Arenas","1","Cuarentena"
"Puqueldón","1","Cuarentena"
"Purén","4","Apertura Inicial"
"Purranque","2","Transición"
"Putaendo","3","Preparación"
"Putre","3","Preparación"
"Puyehue","3","Preparación"
"Queilén","1","Cuarentena"
"Quellón","3","Preparación"
"Quemchi","1","Cuarentena"
"Quilaco","3","Preparación"
"Quilicura","4","Apertura inicial"
"Quilleco","3","Preparación"
"Quillón","2","Transición"
"Quillota","3","Preparación"
"Quilpue","3","Preparación"
"Quinchao","2","Transición"
"Quinta de Tilcoco","3","Preparación"
"Quinta Normal","3","Preparación"
"Quintero","3","Preparación"
"Quirihue","3","Preparación"
"Rancagua","3","Preparación"
"Ránquil","3","Preparación"
